2017-10-12 11:54:15 INFO  LibServer:34 - Binding to port 5050
@2017-10-12 11:54:15 INFO  LibServer:63 - Waiting for a client ...
@2017-10-12 11:54:15 INFO  LibServer:48 - Server started: ServerSocket[addr=0.0.0.0/0.0.0.0,localport=5050] 9
@2017-10-12 11:54:15 INFO  String:25 - Operation:Initialize UserTable;UserTable: [[0,Zhibo@carleton.ca,Zhibo], [1,Yu@carleton.ca,Yu], [2,Michelle@carleton.ca,Michelle], [3,Kevin@carleton.ca,Kevin], [4,Sun@carleton.ca,Sun], [5,Fifi@carleton.ca,Fifi]]
@2017-10-12 11:54:15 INFO  String:23 - Operation:Initialize TitleTable;TitleTable: [[9781442668584,By the grace of God], [9781442616899,Dante's lyric poetry ], [9781442667181,Courtesy lost], [9781611687910,Writing for justice], [9781317594277,The act in context], [9876543211013,ABC], [9293949599321,To Know], [8781611687910,Me Before You]]
@2017-10-12 11:54:15 INFO  String:25 - Operation:Initialize ItemTable;ItemTable: [[0,9781442668584,1], [1,9781442616899,1], [2,9781442667181,1], [3,9781611687910,1], [4,9293949599321,1], [5,8781611687910,1]]
@2017-10-12 11:54:15 INFO  String:27 - Operation:Initialize LoanTable;LoanTable: [[0,9781442668584,1,2017-10-12 11:54:15,0], [1,8781611687910,1,2017-10-12 11:54:15,0]]
@2017-10-12 11:54:15 INFO  String:96 - Operation:Apply OutStanding Fee;Fee Info:[0,0];State:Success
@2017-10-12 11:54:15 INFO  String:106 - Operation:Apply OutStanding Fee;Fee Info:[1,0];State:Success
@2017-10-12 11:54:15 INFO  String:120 - Operation:Initialize FeeTable;FeeTable: [[0,5], [1,0]]
@2017-10-12 11:54:18 INFO  LibServer:72 - Client accepted : Client Address : [/127.0.0.1:52230] Client Socket: [52230 ]

@2017-10-12 11:54:18 INFO  LibServer:63 - Waiting for a client ...
@2017-10-12 11:54:18 INFO  LibClient:31 - 52230 : Connected to server: /127.0.0.1
@2017-10-12 11:54:18 INFO  ServerThread:53 - Class: ServerThread: Server Thread Running__52230
@2017-10-12 11:54:18 INFO  LibClient:32 - 52230 : Connected to portid: 52230
@2017-10-12 11:54:37 INFO  LibServer:102 - Input from 127.0.0.1:52230 hello
@2017-10-12 11:54:37 INFO  LibServer:119 - Output to 127.0.0.1:52230 Who Are you?Librarian or User?

@2017-10-12 11:54:45 INFO  LibServer:102 - Input from 127.0.0.1:52230 librarian
@2017-10-12 11:54:45 INFO  LibServer:111 - Output to 127.0.0.1:52230 Please Input The Password:

@2017-10-12 11:54:54 INFO  LibServer:102 - Input from 127.0.0.1:52230 admin
@2017-10-12 11:54:54 INFO  LibServer:111 - Output to 127.0.0.1:52230 Please select from the menu.Menu:Create User/Title/Item,Delete User/Title/Item,Monitor System.

@2017-10-12 11:54:58 INFO  LibServer:102 - Input from 127.0.0.1:52230 create user
@2017-10-12 11:54:58 INFO  LibServer:111 - Output to 127.0.0.1:52230 Please Input User Info:'username,password'

@2017-10-12 11:55:02 INFO  LibServer:102 - Input from 127.0.0.1:52230 a@c.a
@2017-10-12 11:55:02 INFO  LibServer:111 - Output to 127.0.0.1:52230 Your input should be in this format:'username,password'

@2017-10-12 11:55:07 INFO  LibServer:102 - Input from 127.0.0.1:52230 a@c,a
@2017-10-12 11:55:07 INFO  String:44 - Operation:Create New User;User Info:[a@c,a];State:Success
@2017-10-12 11:55:07 INFO  LibServer:111 - Output to 127.0.0.1:52230 Success!

@2017-10-12 11:55:18 INFO  LibServer:102 - Input from 127.0.0.1:52230 null
@2017-10-12 11:55:18 INFO  LibServer:111 - Output to 127.0.0.1:52230 Please select from the menu.Menu:Create User/Title/Item,Delete User/Title/Item,Monitor System.

@2017-10-12 11:55:18 INFO  LibServer:102 - Input from 127.0.0.1:52230 null
@2017-10-12 11:55:18 INFO  LibServer:111 - Output to 127.0.0.1:52230 Please select from the menu.Menu:Create User/Title/Item,Delete User/Title/Item,Monitor System.

@2017-10-12 11:55:18 INFO  LibServer:102 - Input from 127.0.0.1:52230 null
@2017-10-12 11:55:18 INFO  LibServer:111 - Output to 127.0.0.1:52230 Please select from the menu.Menu:Create User/Title/Item,Delete User/Title/Item,Monitor System.

@2017-10-12 11:55:18 INFO  LibServer:102 - Input from 127.0.0.1:52230 null
@2017-10-12 11:55:18 INFO  LibServer:111 - Output to 127.0.0.1:52230 Please select from the menu.Menu:Create User/Title/Item,Delete User/Title/Item,Monitor System.

@2017-10-12 11:55:18 INFO  LibServer:102 - Input from 127.0.0.1:52230 null
@2017-10-12 11:55:18 INFO  LibServer:111 - Output to 127.0.0.1:52230 Please select from the menu.Menu:Create User/Title/Item,Delete User/Title/Item,Monitor System.

